# File: A53.USA_elec_gen_CCS_EFs_water.csv
# Title: Emission factors (EFs) for carbon capture and storage (CCS) electric generation technologies
# Units: kt/PJ
# Source: Emission factors are calculated from sources as noted
# Description: Global emission factors for electric generation technologies with CCS. NSPS must start in future model periods.
# Column types: ccccccnnnnnnnnc
# ---------
region,supplysector,nesting.subsector,subsector,stub.technology,Non.CO2,pcGDP_start_NSPS,NSPS_start_year,NSPS_em_coeff,pcGDP_start_retrofit,retrofit_start_year,retrofit_time,retrofit_vintage,retrofit_em_coeff,Notes and sources
All states,intermediate generation,gas,gas_int_CC_CCS,gas (CC CCS) (once through),BC,NA,2025,0,NA,NA,NA,NA,NA,BC and OC derived from PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf using table Bond et al (Table 5); for all natural gas
All states,intermediate generation,gas,gas_int_CC_CCS,gas (CC CCS) (seawater),BC,NA,2025,0,NA,NA,NA,NA,NA,BC and OC derived from PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf using table Bond et al (Table 5); for all natural gas
All states,intermediate generation,gas,gas_int_CC_CCS,gas (CC CCS) (recirculating),BC,NA,2025,0,NA,NA,NA,NA,NA,BC and OC derived from PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf using table Bond et al (Table 5); for all natural gas
All states,intermediate generation,gas,gas_int_CC_CCS,gas (CC CCS) (dry cooling),BC,NA,2025,0,NA,NA,NA,NA,NA,BC and OC derived from PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf using table Bond et al (Table 5); for all natural gas
All states,intermediate generation,gas,gas_int_CC_CCS,gas (CC CCS) (once through),OC,NA,2025,0,NA,NA,NA,NA,NA,BC and OC derived from PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf using table Bond et al (Table 5); for all natural gas
All states,intermediate generation,gas,gas_int_CC_CCS,gas (CC CCS) (seawater),OC,NA,2025,0,NA,NA,NA,NA,NA,BC and OC derived from PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf using table Bond et al (Table 5); for all natural gas
All states,intermediate generation,gas,gas_int_CC_CCS,gas (CC CCS) (recirculating),OC,NA,2025,0,NA,NA,NA,NA,NA,BC and OC derived from PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf using table Bond et al (Table 5); for all natural gas
All states,intermediate generation,gas,gas_int_CC_CCS,gas (CC CCS) (dry cooling),OC,NA,2025,0,NA,NA,NA,NA,NA,BC and OC derived from PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf using table Bond et al (Table 5); for all natural gas
All states,intermediate generation,gas,gas_int_CC_CCS,gas (CC CCS) (once through),CO,NA,2025,0.025,NA,NA,NA,NA,NA,"CO and VOC (table 6, using GREET value): https://publications.anl.gov/anlpubs/2020/09/162084.pdf"
All states,intermediate generation,gas,gas_int_CC_CCS,gas (CC CCS) (seawater),CO,NA,2025,0.025,NA,NA,NA,NA,NA,"CO and VOC (table 6, using GREET value): https://publications.anl.gov/anlpubs/2020/09/162084.pdf"
All states,intermediate generation,gas,gas_int_CC_CCS,gas (CC CCS) (recirculating),CO,NA,2025,0.025,NA,NA,NA,NA,NA,"CO and VOC (table 6, using GREET value): https://publications.anl.gov/anlpubs/2020/09/162084.pdf"
All states,intermediate generation,gas,gas_int_CC_CCS,gas (CC CCS) (dry cooling),CO,NA,2025,0.025,NA,NA,NA,NA,NA,"CO and VOC (table 6, using GREET value): https://publications.anl.gov/anlpubs/2020/09/162084.pdf"
All states,intermediate generation,gas,gas_int_CC_CCS,gas (CC CCS) (once through),NMVOC,NA,2025,0.00056,NA,NA,NA,NA,NA,"CO and VOC (table 6, using GREET value): https://publications.anl.gov/anlpubs/2020/09/162084.pdf"
All states,intermediate generation,gas,gas_int_CC_CCS,gas (CC CCS) (seawater),NMVOC,NA,2025,0.00056,NA,NA,NA,NA,NA,"CO and VOC (table 6, using GREET value): https://publications.anl.gov/anlpubs/2020/09/162084.pdf"
All states,intermediate generation,gas,gas_int_CC_CCS,gas (CC CCS) (recirculating),NMVOC,NA,2025,0.00056,NA,NA,NA,NA,NA,"CO and VOC (table 6, using GREET value): https://publications.anl.gov/anlpubs/2020/09/162084.pdf"
All states,intermediate generation,gas,gas_int_CC_CCS,gas (CC CCS) (dry cooling),NMVOC,NA,2025,0.00056,NA,NA,NA,NA,NA,"CO and VOC (table 6, using GREET value): https://publications.anl.gov/anlpubs/2020/09/162084.pdf"
All states,peak generation,gas,gas_peak_CC_CCS,gas (CC CCS) (once through),SO2_1,NA,2025,0,NA,NA,NA,NA,NA,"SO2, Nox, and PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf"
All states,peak generation,gas,gas_peak_CC_CCS,gas (CC CCS) (seawater),SO2_1,NA,2025,0,NA,NA,NA,NA,NA,"SO2, Nox, and PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf"
All states,peak generation,gas,gas_peak_CC_CCS,gas (CC CCS) (recirculating),SO2_1,NA,2025,0,NA,NA,NA,NA,NA,"SO2, Nox, and PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf"
All states,peak generation,gas,gas_peak_CC_CCS,gas (CC CCS) (dry cooling),SO2_1,NA,2025,0,NA,NA,NA,NA,NA,"SO2, Nox, and PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf"
All states,peak generation,gas,gas_peak_CC_CCS,gas (CC CCS) (once through),NOx,NA,2025,0.001289763,NA,NA,NA,NA,NA,"SO2, Nox, and PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf"
All states,peak generation,gas,gas_peak_CC_CCS,gas (CC CCS) (seawater),NOx,NA,2025,0.001289763,NA,NA,NA,NA,NA,"SO2, Nox, and PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf"
All states,peak generation,gas,gas_peak_CC_CCS,gas (CC CCS) (recirculating),NOx,NA,2025,0.001289763,NA,NA,NA,NA,NA,"SO2, Nox, and PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf"
All states,peak generation,gas,gas_peak_CC_CCS,gas (CC CCS) (dry cooling),NOx,NA,2025,0.001289763,NA,NA,NA,NA,NA,"SO2, Nox, and PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf"
All states,peak generation,gas,gas_peak_CC_CCS,gas (CC CCS) (once through),PM10,NA,2025,0,NA,NA,NA,NA,NA,"SO2, Nox, and PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf"
All states,peak generation,gas,gas_peak_CC_CCS,gas (CC CCS) (seawater),PM10,NA,2025,0,NA,NA,NA,NA,NA,"SO2, Nox, and PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf"
All states,peak generation,gas,gas_peak_CC_CCS,gas (CC CCS) (recirculating),PM10,NA,2025,0,NA,NA,NA,NA,NA,"SO2, Nox, and PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf"
All states,peak generation,gas,gas_peak_CC_CCS,gas (CC CCS) (dry cooling),PM10,NA,2025,0,NA,NA,NA,NA,NA,"SO2, Nox, and PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf"
All states,peak generation,gas,gas_peak_CC_CCS,gas (CC CCS) (once through),PM2.5,NA,2025,0,NA,NA,NA,NA,NA,"SO2, Nox, and PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf"
All states,peak generation,gas,gas_peak_CC_CCS,gas (CC CCS) (seawater),PM2.5,NA,2025,0,NA,NA,NA,NA,NA,"SO2, Nox, and PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf"
All states,peak generation,gas,gas_peak_CC_CCS,gas (CC CCS) (recirculating),PM2.5,NA,2025,0,NA,NA,NA,NA,NA,"SO2, Nox, and PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf"
All states,peak generation,gas,gas_peak_CC_CCS,gas (CC CCS) (dry cooling),PM2.5,NA,2025,0,NA,NA,NA,NA,NA,"SO2, Nox, and PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf"
All states,peak generation,gas,gas_peak_CC_CCS,gas (CC CCS) (once through),BC,NA,2025,0,NA,NA,NA,NA,NA,BC and OC derived from PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf using table Bond et al (Table 5); for all natural gas
All states,peak generation,gas,gas_peak_CC_CCS,gas (CC CCS) (seawater),BC,NA,2025,0,NA,NA,NA,NA,NA,BC and OC derived from PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf using table Bond et al (Table 5); for all natural gas
All states,peak generation,gas,gas_peak_CC_CCS,gas (CC CCS) (recirculating),BC,NA,2025,0,NA,NA,NA,NA,NA,BC and OC derived from PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf using table Bond et al (Table 5); for all natural gas
All states,peak generation,gas,gas_peak_CC_CCS,gas (CC CCS) (dry cooling),BC,NA,2025,0,NA,NA,NA,NA,NA,BC and OC derived from PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf using table Bond et al (Table 5); for all natural gas
All states,peak generation,gas,gas_peak_CC_CCS,gas (CC CCS) (once through),OC,NA,2025,0,NA,NA,NA,NA,NA,BC and OC derived from PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf using table Bond et al (Table 5); for all natural gas
All states,peak generation,gas,gas_peak_CC_CCS,gas (CC CCS) (seawater),OC,NA,2025,0,NA,NA,NA,NA,NA,BC and OC derived from PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf using table Bond et al (Table 5); for all natural gas
All states,peak generation,gas,gas_peak_CC_CCS,gas (CC CCS) (recirculating),OC,NA,2025,0,NA,NA,NA,NA,NA,BC and OC derived from PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf using table Bond et al (Table 5); for all natural gas
All states,peak generation,gas,gas_peak_CC_CCS,gas (CC CCS) (dry cooling),OC,NA,2025,0,NA,NA,NA,NA,NA,BC and OC derived from PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf using table Bond et al (Table 5); for all natural gas
All states,peak generation,gas,gas_peak_CC_CCS,gas (CC CCS) (once through),CO,NA,2025,0.025,NA,NA,NA,NA,NA,"CO and VOC (table 6, using GREET value): https://publications.anl.gov/anlpubs/2020/09/162084.pdf"
All states,peak generation,gas,gas_peak_CC_CCS,gas (CC CCS) (seawater),CO,NA,2025,0.025,NA,NA,NA,NA,NA,"CO and VOC (table 6, using GREET value): https://publications.anl.gov/anlpubs/2020/09/162084.pdf"
All states,peak generation,gas,gas_peak_CC_CCS,gas (CC CCS) (recirculating),CO,NA,2025,0.025,NA,NA,NA,NA,NA,"CO and VOC (table 6, using GREET value): https://publications.anl.gov/anlpubs/2020/09/162084.pdf"
All states,peak generation,gas,gas_peak_CC_CCS,gas (CC CCS) (dry cooling),CO,NA,2025,0.025,NA,NA,NA,NA,NA,"CO and VOC (table 6, using GREET value): https://publications.anl.gov/anlpubs/2020/09/162084.pdf"
All states,peak generation,gas,gas_peak_CC_CCS,gas (CC CCS) (once through),NMVOC,NA,2025,0.00056,NA,NA,NA,NA,NA,"CO and VOC (table 6, using GREET value): https://publications.anl.gov/anlpubs/2020/09/162084.pdf"
All states,peak generation,gas,gas_peak_CC_CCS,gas (CC CCS) (seawater),NMVOC,NA,2025,0.00056,NA,NA,NA,NA,NA,"CO and VOC (table 6, using GREET value): https://publications.anl.gov/anlpubs/2020/09/162084.pdf"
All states,peak generation,gas,gas_peak_CC_CCS,gas (CC CCS) (recirculating),NMVOC,NA,2025,0.00056,NA,NA,NA,NA,NA,"CO and VOC (table 6, using GREET value): https://publications.anl.gov/anlpubs/2020/09/162084.pdf"
All states,peak generation,gas,gas_peak_CC_CCS,gas (CC CCS) (dry cooling),NMVOC,NA,2025,0.00056,NA,NA,NA,NA,NA,"CO and VOC (table 6, using GREET value): https://publications.anl.gov/anlpubs/2020/09/162084.pdf"
All states,subpeak generation,gas,gas_subpeak_CC_CCS,gas (CC CCS) (once through),SO2_1,NA,2025,0,NA,NA,NA,NA,NA,"SO2, Nox, and PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf"
All states,subpeak generation,gas,gas_subpeak_CC_CCS,gas (CC CCS) (seawater),SO2_1,NA,2025,0,NA,NA,NA,NA,NA,"SO2, Nox, and PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf"
All states,subpeak generation,gas,gas_subpeak_CC_CCS,gas (CC CCS) (recirculating),SO2_1,NA,2025,0,NA,NA,NA,NA,NA,"SO2, Nox, and PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf"
All states,subpeak generation,gas,gas_subpeak_CC_CCS,gas (CC CCS) (dry cooling),SO2_1,NA,2025,0,NA,NA,NA,NA,NA,"SO2, Nox, and PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf"
All states,subpeak generation,gas,gas_subpeak_CC_CCS,gas (CC CCS) (once through),NOx,NA,2025,0.001289763,NA,NA,NA,NA,NA,"SO2, Nox, and PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf"
All states,subpeak generation,gas,gas_subpeak_CC_CCS,gas (CC CCS) (seawater),NOx,NA,2025,0.001289763,NA,NA,NA,NA,NA,"SO2, Nox, and PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf"
All states,subpeak generation,gas,gas_subpeak_CC_CCS,gas (CC CCS) (recirculating),NOx,NA,2025,0.001289763,NA,NA,NA,NA,NA,"SO2, Nox, and PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf"
All states,subpeak generation,gas,gas_subpeak_CC_CCS,gas (CC CCS) (dry cooling),NOx,NA,2025,0.001289763,NA,NA,NA,NA,NA,"SO2, Nox, and PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf"
All states,subpeak generation,gas,gas_subpeak_CC_CCS,gas (CC CCS) (once through),PM10,NA,2025,0,NA,NA,NA,NA,NA,"SO2, Nox, and PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf"
All states,subpeak generation,gas,gas_subpeak_CC_CCS,gas (CC CCS) (seawater),PM10,NA,2025,0,NA,NA,NA,NA,NA,"SO2, Nox, and PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf"
All states,subpeak generation,gas,gas_subpeak_CC_CCS,gas (CC CCS) (recirculating),PM10,NA,2025,0,NA,NA,NA,NA,NA,"SO2, Nox, and PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf"
All states,subpeak generation,gas,gas_subpeak_CC_CCS,gas (CC CCS) (dry cooling),PM10,NA,2025,0,NA,NA,NA,NA,NA,"SO2, Nox, and PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf"
All states,subpeak generation,gas,gas_subpeak_CC_CCS,gas (CC CCS) (once through),PM2.5,NA,2025,0,NA,NA,NA,NA,NA,"SO2, Nox, and PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf"
All states,subpeak generation,gas,gas_subpeak_CC_CCS,gas (CC CCS) (seawater),PM2.5,NA,2025,0,NA,NA,NA,NA,NA,"SO2, Nox, and PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf"
All states,subpeak generation,gas,gas_subpeak_CC_CCS,gas (CC CCS) (recirculating),PM2.5,NA,2025,0,NA,NA,NA,NA,NA,"SO2, Nox, and PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf"
All states,subpeak generation,gas,gas_subpeak_CC_CCS,gas (CC CCS) (dry cooling),PM2.5,NA,2025,0,NA,NA,NA,NA,NA,"SO2, Nox, and PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf"
All states,subpeak generation,gas,gas_subpeak_CC_CCS,gas (CC CCS) (once through),BC,NA,2025,0,NA,NA,NA,NA,NA,BC and OC derived from PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf using table Bond et al (Table 5); for all natural gas
All states,subpeak generation,gas,gas_subpeak_CC_CCS,gas (CC CCS) (seawater),BC,NA,2025,0,NA,NA,NA,NA,NA,BC and OC derived from PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf using table Bond et al (Table 5); for all natural gas
All states,subpeak generation,gas,gas_subpeak_CC_CCS,gas (CC CCS) (recirculating),BC,NA,2025,0,NA,NA,NA,NA,NA,BC and OC derived from PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf using table Bond et al (Table 5); for all natural gas
All states,subpeak generation,gas,gas_subpeak_CC_CCS,gas (CC CCS) (dry cooling),BC,NA,2025,0,NA,NA,NA,NA,NA,BC and OC derived from PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf using table Bond et al (Table 5); for all natural gas
All states,subpeak generation,gas,gas_subpeak_CC_CCS,gas (CC CCS) (once through),OC,NA,2025,0,NA,NA,NA,NA,NA,BC and OC derived from PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf using table Bond et al (Table 5); for all natural gas
All states,subpeak generation,gas,gas_subpeak_CC_CCS,gas (CC CCS) (seawater),OC,NA,2025,0,NA,NA,NA,NA,NA,BC and OC derived from PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf using table Bond et al (Table 5); for all natural gas
All states,subpeak generation,gas,gas_subpeak_CC_CCS,gas (CC CCS) (recirculating),OC,NA,2025,0,NA,NA,NA,NA,NA,BC and OC derived from PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf using table Bond et al (Table 5); for all natural gas
All states,subpeak generation,gas,gas_subpeak_CC_CCS,gas (CC CCS) (dry cooling),OC,NA,2025,0,NA,NA,NA,NA,NA,BC and OC derived from PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf using table Bond et al (Table 5); for all natural gas
All states,subpeak generation,gas,gas_subpeak_CC_CCS,gas (CC CCS) (once through),CO,NA,2025,0.025,NA,NA,NA,NA,NA,"CO and VOC (table 6, using GREET value): https://publications.anl.gov/anlpubs/2020/09/162084.pdf"
All states,subpeak generation,gas,gas_subpeak_CC_CCS,gas (CC CCS) (seawater),CO,NA,2025,0.025,NA,NA,NA,NA,NA,"CO and VOC (table 6, using GREET value): https://publications.anl.gov/anlpubs/2020/09/162084.pdf"
All states,subpeak generation,gas,gas_subpeak_CC_CCS,gas (CC CCS) (recirculating),CO,NA,2025,0.025,NA,NA,NA,NA,NA,"CO and VOC (table 6, using GREET value): https://publications.anl.gov/anlpubs/2020/09/162084.pdf"
All states,subpeak generation,gas,gas_subpeak_CC_CCS,gas (CC CCS) (dry cooling),CO,NA,2025,0.025,NA,NA,NA,NA,NA,"CO and VOC (table 6, using GREET value): https://publications.anl.gov/anlpubs/2020/09/162084.pdf"
All states,subpeak generation,gas,gas_subpeak_CC_CCS,gas (CC CCS) (once through),NMVOC,NA,2025,0.00056,NA,NA,NA,NA,NA,"CO and VOC (table 6, using GREET value): https://publications.anl.gov/anlpubs/2020/09/162084.pdf"
All states,subpeak generation,gas,gas_subpeak_CC_CCS,gas (CC CCS) (seawater),NMVOC,NA,2025,0.00056,NA,NA,NA,NA,NA,"CO and VOC (table 6, using GREET value): https://publications.anl.gov/anlpubs/2020/09/162084.pdf"
All states,subpeak generation,gas,gas_subpeak_CC_CCS,gas (CC CCS) (recirculating),NMVOC,NA,2025,0.00056,NA,NA,NA,NA,NA,"CO and VOC (table 6, using GREET value): https://publications.anl.gov/anlpubs/2020/09/162084.pdf"
All states,subpeak generation,gas,gas_subpeak_CC_CCS,gas (CC CCS) (dry cooling),NMVOC,NA,2025,0.00056,NA,NA,NA,NA,NA,"CO and VOC (table 6, using GREET value): https://publications.anl.gov/anlpubs/2020/09/162084.pdf"
All states,base load generation,biomass,biomass_base_conv_CCS,biomass (conv CCS) (once through),SO2_1,NA,2025,0,NA,NA,NA,NA,NA,"SO2 , NOX and PM from https://www.osti.gov/servlets/purl/1810056"
All states,base load generation,biomass,biomass_base_conv_CCS,biomass (conv CCS) (seawater),SO2_1,NA,2025,0,NA,NA,NA,NA,NA,"SO2 , NOX and PM from https://www.osti.gov/servlets/purl/1810056"
All states,base load generation,biomass,biomass_base_conv_CCS,biomass (conv CCS) (recirculating),SO2_1,NA,2025,0,NA,NA,NA,NA,NA,"SO2 , NOX and PM from https://www.osti.gov/servlets/purl/1810056"
All states,base load generation,biomass,biomass_base_conv_CCS,biomass (conv CCS) (dry cooling),SO2_1,NA,2025,0,NA,NA,NA,NA,NA,"SO2 , NOX and PM from https://www.osti.gov/servlets/purl/1810056"
All states,base load generation,biomass,biomass_base_conv_CCS,biomass (conv CCS) (once through),NOx,NA,2025,0.03267399,NA,NA,NA,NA,NA,"SO2 , NOX and PM from https://www.osti.gov/servlets/purl/1810056"
All states,base load generation,biomass,biomass_base_conv_CCS,biomass (conv CCS) (seawater),NOx,NA,2025,0.03267399,NA,NA,NA,NA,NA,"SO2 , NOX and PM from https://www.osti.gov/servlets/purl/1810056"
All states,base load generation,biomass,biomass_base_conv_CCS,biomass (conv CCS) (recirculating),NOx,NA,2025,0.03267399,NA,NA,NA,NA,NA,"SO2 , NOX and PM from https://www.osti.gov/servlets/purl/1810056"
All states,base load generation,biomass,biomass_base_conv_CCS,biomass (conv CCS) (dry cooling),NOx,NA,2025,0.03267399,NA,NA,NA,NA,NA,"SO2 , NOX and PM from https://www.osti.gov/servlets/purl/1810056"
All states,base load generation,biomass,biomass_base_conv_CCS,biomass (conv CCS) (once through),PM10,NA,2025,0.004299209,NA,NA,NA,NA,NA,"SO2 , NOX and PM from https://www.osti.gov/servlets/purl/1810056"
All states,base load generation,biomass,biomass_base_conv_CCS,biomass (conv CCS) (seawater),PM10,NA,2025,0.004299209,NA,NA,NA,NA,NA,"SO2 , NOX and PM from https://www.osti.gov/servlets/purl/1810056"
All states,base load generation,biomass,biomass_base_conv_CCS,biomass (conv CCS) (recirculating),PM10,NA,2025,0.004299209,NA,NA,NA,NA,NA,"SO2 , NOX and PM from https://www.osti.gov/servlets/purl/1810056"
All states,base load generation,biomass,biomass_base_conv_CCS,biomass (conv CCS) (dry cooling),PM10,NA,2025,0.004299209,NA,NA,NA,NA,NA,"SO2 , NOX and PM from https://www.osti.gov/servlets/purl/1810056"
All states,base load generation,biomass,biomass_base_conv_CCS,biomass (conv CCS) (once through),PM2.5,NA,2025,0.004299209,NA,NA,NA,NA,NA,"SO2 , NOX and PM from https://www.osti.gov/servlets/purl/1810056"
All states,base load generation,biomass,biomass_base_conv_CCS,biomass (conv CCS) (seawater),PM2.5,NA,2025,0.004299209,NA,NA,NA,NA,NA,"SO2 , NOX and PM from https://www.osti.gov/servlets/purl/1810056"
All states,base load generation,biomass,biomass_base_conv_CCS,biomass (conv CCS) (recirculating),PM2.5,NA,2025,0.004299209,NA,NA,NA,NA,NA,"SO2 , NOX and PM from https://www.osti.gov/servlets/purl/1810056"
All states,base load generation,biomass,biomass_base_conv_CCS,biomass (conv CCS) (dry cooling),PM2.5,NA,2025,0.004299209,NA,NA,NA,NA,NA,"SO2 , NOX and PM from https://www.osti.gov/servlets/purl/1810056"
All states,base load generation,biomass,biomass_base_conv_CCS,biomass (conv CCS) (once through),BC,NA,2025,0.000159071,NA,NA,NA,NA,NA,BC and OC derived from PM using Klimont et al; Residential - biomass
