INPUT_TABLE
Variable ID
AgCost

region,AgSupplySector,AgSupplySubsector,AgProductionTechnology,year,NonLandVariableCost,AEZ,GCAM_commodity
Latin America,biomass,biomassAEZ13,biomassAEZ13,2035,6,AEZ13,biomass
Southeast Asia,biomass,biomassAEZ13,biomassAEZ13,2035,6,AEZ13,biomass
Eastern Europe,biomass,biomassAEZ13,biomassAEZ13,2035,6,AEZ13,biomass
Korea,biomass,biomassAEZ13,biomassAEZ13,2035,6,AEZ13,biomass
India,biomass,biomassAEZ13,biomassAEZ13,2035,6,AEZ13,biomass
USA,biomass,willowAEZ14,willowAEZ14,2035,5.368,AEZ14,willow
Canada,biomass,biomassAEZ14,biomassAEZ14,2035,6,AEZ14,biomass
Western Europe,biomass,willowAEZ14,willowAEZ14,2035,5.368,AEZ14,willow
Japan,biomass,biomassAEZ14,biomassAEZ14,2035,6,AEZ14,biomass
Australia_NZ,biomass,biomassAEZ14,biomassAEZ14,2035,6,AEZ14,biomass
Former Soviet Union,biomass,biomassAEZ14,biomassAEZ14,2035,6,AEZ14,biomass
China,biomass,willowAEZ14,willowAEZ14,2035,5.368,AEZ14,willow
Middle East,biomass,biomassAEZ14,biomassAEZ14,2035,6,AEZ14,biomass
Africa,biomass,biomassAEZ14,biomassAEZ14,2035,6,AEZ14,biomass
Latin America,biomass,biomassAEZ14,biomassAEZ14,2035,6,AEZ14,biomass
Southeast Asia,biomass,biomassAEZ14,biomassAEZ14,2035,6,AEZ14,biomass
Eastern Europe,biomass,biomassAEZ14,biomassAEZ14,2035,6,AEZ14,biomass
Korea,biomass,biomassAEZ14,biomassAEZ14,2035,6,AEZ14,biomass
India,biomass,biomassAEZ14,biomassAEZ14,2035,6,AEZ14,biomass
USA,biomass,willowAEZ15,willowAEZ15,2035,5.368,AEZ15,willow
Canada,biomass,biomassAEZ15,biomassAEZ15,2035,6,AEZ15,biomass
Western Europe,biomass,willowAEZ15,willowAEZ15,2035,5.368,AEZ15,willow
Japan,biomass,biomassAEZ15,biomassAEZ15,2035,6,AEZ15,biomass
Australia_NZ,biomass,biomassAEZ15,biomassAEZ15,2035,6,AEZ15,biomass
Former Soviet Union,biomass,biomassAEZ15,biomassAEZ15,2035,6,AEZ15,biomass
China,biomass,willowAEZ15,willowAEZ15,2035,5.368,AEZ15,willow
Middle East,biomass,biomassAEZ15,biomassAEZ15,2035,6,AEZ15,biomass
Africa,biomass,biomassAEZ15,biomassAEZ15,2035,6,AEZ15,biomass
Latin America,biomass,biomassAEZ15,biomassAEZ15,2035,6,AEZ15,biomass
Southeast Asia,biomass,biomassAEZ15,biomassAEZ15,2035,6,AEZ15,biomass
Eastern Europe,biomass,willowAEZ15,willowAEZ15,2035,5.368,AEZ15,willow
Korea,biomass,biomassAEZ15,biomassAEZ15,2035,6,AEZ15,biomass
India,biomass,biomassAEZ15,biomassAEZ15,2035,6,AEZ15,biomass
USA,biomass,willowAEZ16,willowAEZ16,2035,5.368,AEZ16,willow
Canada,biomass,biomassAEZ16,biomassAEZ16,2035,6,AEZ16,biomass
Western Europe,biomass,willowAEZ16,willowAEZ16,2035,5.368,AEZ16,willow
Japan,biomass,biomassAEZ16,biomassAEZ16,2035,6,AEZ16,biomass
Australia_NZ,biomass,biomassAEZ16,biomassAEZ16,2035,6,AEZ16,biomass
Former Soviet Union,biomass,biomassAEZ16,biomassAEZ16,2035,6,AEZ16,biomass
China,biomass,willowAEZ16,willowAEZ16,2035,5.368,AEZ16,willow
Middle East,biomass,biomassAEZ16,biomassAEZ16,2035,6,AEZ16,biomass
Africa,biomass,biomassAEZ16,biomassAEZ16,2035,6,AEZ16,biomass
Latin America,biomass,biomassAEZ16,biomassAEZ16,2035,6,AEZ16,biomass
Southeast Asia,biomass,biomassAEZ16,biomassAEZ16,2035,6,AEZ16,biomass
Eastern Europe,biomass,willowAEZ16,willowAEZ16,2035,5.368,AEZ16,willow
Korea,biomass,biomassAEZ16,biomassAEZ16,2035,6,AEZ16,biomass
India,biomass,biomassAEZ16,biomassAEZ16,2035,6,AEZ16,biomass
USA,biomass,biomassAEZ17,biomassAEZ17,2035,6,AEZ17,biomass
Canada,biomass,biomassAEZ17,biomassAEZ17,2035,6,AEZ17,biomass
Western Europe,biomass,biomassAEZ17,biomassAEZ17,2035,6,AEZ17,biomass
Japan,biomass,biomassAEZ17,biomassAEZ17,2035,6,AEZ17,biomass
Australia_NZ,biomass,biomassAEZ17,biomassAEZ17,2035,6,AEZ17,biomass
Former Soviet Union,biomass,biomassAEZ17,biomassAEZ17,2035,6,AEZ17,biomass
China,biomass,willowAEZ17,willowAEZ17,2035,5.368,AEZ17,willow
Middle East,biomass,biomassAEZ17,biomassAEZ17,2035,6,AEZ17,biomass
Africa,biomass,biomassAEZ17,biomassAEZ17,2035,6,AEZ17,biomass
Latin America,biomass,biomassAEZ17,biomassAEZ17,2035,6,AEZ17,biomass
Southeast Asia,biomass,biomassAEZ17,biomassAEZ17,2035,6,AEZ17,biomass
Eastern Europe,biomass,biomassAEZ17,biomassAEZ17,2035,6,AEZ17,biomass
Korea,biomass,biomassAEZ17,biomassAEZ17,2035,6,AEZ17,biomass
India,biomass,biomassAEZ17,biomassAEZ17,2035,6,AEZ17,biomass
USA,biomass,biomassAEZ18,biomassAEZ18,2035,6,AEZ18,biomass
Canada,biomass,biomassAEZ18,biomassAEZ18,2035,6,AEZ18,biomass
Western Europe,biomass,biomassAEZ18,biomassAEZ18,2035,6,AEZ18,biomass
Japan,biomass,biomassAEZ18,biomassAEZ18,2035,6,AEZ18,biomass
Australia_NZ,biomass,biomassAEZ18,biomassAEZ18,2035,6,AEZ18,biomass
Former Soviet Union,biomass,biomassAEZ18,biomassAEZ18,2035,6,AEZ18,biomass
China,biomass,biomassAEZ18,biomassAEZ18,2035,6,AEZ18,biomass
Middle East,biomass,biomassAEZ18,biomassAEZ18,2035,6,AEZ18,biomass
Africa,biomass,biomassAEZ18,biomassAEZ18,2035,6,AEZ18,biomass
Latin America,biomass,biomassAEZ18,biomassAEZ18,2035,6,AEZ18,biomass
Southeast Asia,biomass,biomassAEZ18,biomassAEZ18,2035,6,AEZ18,biomass
Eastern Europe,biomass,biomassAEZ18,biomassAEZ18,2035,6,AEZ18,biomass
Korea,biomass,biomassAEZ18,biomassAEZ18,2035,6,AEZ18,biomass
India,biomass,biomassAEZ18,biomassAEZ18,2035,6,AEZ18,biomass
USA,biomass,biomassAEZ01,biomassAEZ01,2050,6,AEZ01,biomass
Canada,biomass,biomassAEZ01,biomassAEZ01,2050,6,AEZ01,biomass
Western Europe,biomass,biomassAEZ01,biomassAEZ01,2050,6,AEZ01,biomass
Japan,biomass,biomassAEZ01,biomassAEZ01,2050,6,AEZ01,biomass
Australia_NZ,biomass,biomassAEZ01,biomassAEZ01,2050,6,AEZ01,biomass
Former Soviet Union,biomass,biomassAEZ01,biomassAEZ01,2050,6,AEZ01,biomass
China,biomass,biomassAEZ01,biomassAEZ01,2050,6,AEZ01,biomass
Middle East,biomass,biomassAEZ01,biomassAEZ01,2050,6,AEZ01,biomass
Africa,biomassOil,JatrophaAEZ01,JatrophaAEZ01,2050,10.368,AEZ01,Jatropha
Latin America,biomass,eucalyptusAEZ01,eucalyptusAEZ01,2050,5.92,AEZ01,eucalyptus
Southeast Asia,biomass,biomassAEZ01,biomassAEZ01,2050,6,AEZ01,biomass
Eastern Europe,biomass,biomassAEZ01,biomassAEZ01,2050,6,AEZ01,biomass
Korea,biomass,biomassAEZ01,biomassAEZ01,2050,6,AEZ01,biomass
India,biomassOil,JatrophaAEZ01,JatrophaAEZ01,2050,10.368,AEZ01,Jatropha
USA,biomass,biomassAEZ02,biomassAEZ02,2050,0.75,AEZ02,biomass
Canada,biomass,biomassAEZ02,biomassAEZ02,2050,0.75,AEZ02,biomass
Western Europe,biomass,biomassAEZ02,biomassAEZ02,2050,0.75,AEZ02,biomass
Japan,biomass,biomassAEZ02,biomassAEZ02,2050,0.75,AEZ02,biomass
Australia_NZ,biomass,biomassAEZ02,biomassAEZ02,2050,0.75,AEZ02,biomass
Former Soviet Union,biomass,biomassAEZ02,biomassAEZ02,2050,0.75,AEZ02,biomass
China,biomass,biomassAEZ02,biomassAEZ02,2050,0.75,AEZ02,biomass
Middle East,biomass,biomassAEZ02,biomassAEZ02,2050,0.75,AEZ02,biomass
Africa,biomassOil,JatrophaAEZ02,JatrophaAEZ02,2050,1.296,AEZ02,Jatropha
Latin America,biomass,eucalyptusAEZ02,eucalyptusAEZ02,2050,0.74,AEZ02,eucalyptus
Southeast Asia,biomass,biomassAEZ02,biomassAEZ02,2050,0.75,AEZ02,biomass
Eastern Europe,biomass,biomassAEZ02,biomassAEZ02,2050,0.75,AEZ02,biomass
Korea,biomass,biomassAEZ02,biomassAEZ02,2050,0.75,AEZ02,biomass
India,biomassOil,JatrophaAEZ02,JatrophaAEZ02,2050,1.296,AEZ02,Jatropha
USA,biomass,biomassAEZ03,biomassAEZ03,2050,0.75,AEZ03,biomass
Canada,biomass,biomassAEZ03,biomassAEZ03,2050,0.75,AEZ03,biomass
Western Europe,biomass,biomassAEZ03,biomassAEZ03,2050,0.75,AEZ03,biomass
Japan,biomass,biomassAEZ03,biomassAEZ03,2050,0.75,AEZ03,biomass
Australia_NZ,biomass,biomassAEZ03,biomassAEZ03,2050,0.75,AEZ03,biomass
Former Soviet Union,biomass,biomassAEZ03,biomassAEZ03,2050,0.75,AEZ03,biomass
China,biomass,biomassAEZ03,biomassAEZ03,2050,0.75,AEZ03,biomass
Middle East,biomass,biomassAEZ03,biomassAEZ03,2050,0.75,AEZ03,biomass
Africa,biomass,eucalyptusAEZ03,eucalyptusAEZ03,2050,0.74,AEZ03,eucalyptus
Latin America,biomass,eucalyptusAEZ03,eucalyptusAEZ03,2050,0.74,AEZ03,eucalyptus
Southeast Asia,biomass,biomassAEZ03,biomassAEZ03,2050,0.75,AEZ03,biomass
Eastern Europe,biomass,biomassAEZ03,biomassAEZ03,2050,0.75,AEZ03,biomass
Korea,biomass,biomassAEZ03,biomassAEZ03,2050,0.75,AEZ03,biomass
India,biomassOil,JatrophaAEZ03,JatrophaAEZ03,2050,1.296,AEZ03,Jatropha
USA,biomass,biomassAEZ04,biomassAEZ04,2050,0.75,AEZ04,biomass
Canada,biomass,biomassAEZ04,biomassAEZ04,2050,0.75,AEZ04,biomass
Western Europe,biomass,miscanthusAEZ04,miscanthusAEZ04,2050,1.106,AEZ04,miscanthus
Japan,biomass,biomassAEZ04,biomassAEZ04,2050,0.75,AEZ04,biomass
Australia_NZ,biomass,biomassAEZ04,biomassAEZ04,2050,0.75,AEZ04,biomass
Former Soviet Union,biomass,biomassAEZ04,biomassAEZ04,2050,0.75,AEZ04,biomass
China,biomass,biomassAEZ04,biomassAEZ04,2050,0.75,AEZ04,biomass
Middle East,biomass,biomassAEZ04,biomassAEZ04,2050,0.75,AEZ04,biomass
Africa,biomass,eucalyptusAEZ04,eucalyptusAEZ04,2050,0.74,AEZ04,eucalyptus
Latin America,biomass,eucalyptusAEZ04,eucalyptusAEZ04,2050,0.74,AEZ04,eucalyptus
Southeast Asia,biomass,biomassAEZ04,biomassAEZ04,2050,0.75,AEZ04,biomass
Eastern Europe,biomass,biomassAEZ04,biomassAEZ04,2050,0.75,AEZ04,biomass
Korea,biomass,biomassAEZ04,biomassAEZ04,2050,0.75,AEZ04,biomass
India,biomassOil,JatrophaAEZ04,JatrophaAEZ04,2050,1.296,AEZ04,Jatropha
USA,biomass,biomassAEZ05,biomassAEZ05,2050,0.75,AEZ05,biomass
Canada,biomass,biomassAEZ05,biomassAEZ05,2050,0.75,AEZ05,biomass
Western Europe,biomass,biomassAEZ05,biomassAEZ05,2050,0.75,AEZ05,biomass
Japan,biomass,biomassAEZ05,biomassAEZ05,2050,0.75,AEZ05,biomass
Australia_NZ,biomass,biomassAEZ05,biomassAEZ05,2050,0.75,AEZ05,biomass
Former Soviet Union,biomass,biomassAEZ05,biomassAEZ05,2050,0.75,AEZ05,biomass
China,biomass,biomassAEZ05,biomassAEZ05,2050,0.75,AEZ05,biomass
Middle East,biomass,biomassAEZ05,biomassAEZ05,2050,0.75,AEZ05,biomass
Africa,biomass,eucalyptusAEZ05,eucalyptusAEZ05,2050,0.74,AEZ05,eucalyptus
Latin America,biomass,eucalyptusAEZ05,eucalyptusAEZ05,2050,0.74,AEZ05,eucalyptus
Southeast Asia,biomass,biomassAEZ05,biomassAEZ05,2050,0.75,AEZ05,biomass
Eastern Europe,biomass,biomassAEZ05,biomassAEZ05,2050,0.75,AEZ05,biomass
Korea,biomass,biomassAEZ05,biomassAEZ05,2050,0.75,AEZ05,biomass
India,biomassOil,JatrophaAEZ05,JatrophaAEZ05,2050,1.296,AEZ05,Jatropha
USA,biomass,biomassAEZ06,biomassAEZ06,2050,0.75,AEZ06,biomass
Canada,biomass,biomassAEZ06,biomassAEZ06,2050,0.75,AEZ06,biomass
Western Europe,biomass,biomassAEZ06,biomassAEZ06,2050,0.75,AEZ06,biomass
Japan,biomass,biomassAEZ06,biomassAEZ06,2050,0.75,AEZ06,biomass
Australia_NZ,biomass,biomassAEZ06,biomassAEZ06,2050,0.75,AEZ06,biomass
Former Soviet Union,biomass,biomassAEZ06,biomassAEZ06,2050,0.75,AEZ06,biomass
China,biomass,biomassAEZ06,biomassAEZ06,2050,0.75,AEZ06,biomass
Middle East,biomass,biomassAEZ06,biomassAEZ06,2050,0.75,AEZ06,biomass
Africa,biomass,eucalyptusAEZ06,eucalyptusAEZ06,2050,0.74,AEZ06,eucalyptus
Latin America,biomass,eucalyptusAEZ06,eucalyptusAEZ06,2050,0.74,AEZ06,eucalyptus
Southeast Asia,biomass,biomassAEZ06,biomassAEZ06,2050,0.75,AEZ06,biomass
Eastern Europe,biomass,biomassAEZ06,biomassAEZ06,2050,0.75,AEZ06,biomass
Korea,biomass,biomassAEZ06,biomassAEZ06,2050,0.75,AEZ06,biomass
India,biomassOil,JatrophaAEZ06,JatrophaAEZ06,2050,1.296,AEZ06,Jatropha
USA,biomass,biomassAEZ07,biomassAEZ07,2050,0.75,AEZ07,biomass
Canada,biomass,biomassAEZ07,biomassAEZ07,2050,0.75,AEZ07,biomass
Western Europe,biomass,miscanthusAEZ07,miscanthusAEZ07,2050,8.848,AEZ07,miscanthus
Japan,biomass,biomassAEZ07,biomassAEZ07,2050,6,AEZ07,biomass
Australia_NZ,biomass,biomassAEZ07,biomassAEZ07,2050,6,AEZ07,biomass
Former Soviet Union,biomass,biomassAEZ07,biomassAEZ07,2050,6,AEZ07,biomass
China,biomass,biomassAEZ07,biomassAEZ07,2050,6,AEZ07,biomass
Middle East,biomass,biomassAEZ07,biomassAEZ07,2050,6,AEZ07,biomass
Africa,biomass,eucalyptusAEZ07,eucalyptusAEZ07,2050,5.92,AEZ07,eucalyptus
Latin America,biomass,eucalyptusAEZ07,eucalyptusAEZ07,2050,5.92,AEZ07,eucalyptus
Southeast Asia,biomass,biomassAEZ07,biomassAEZ07,2050,6,AEZ07,biomass
Eastern Europe,biomass,biomassAEZ07,biomassAEZ07,2050,6,AEZ07,biomass
Korea,biomass,biomassAEZ07,biomassAEZ07,2050,6,AEZ07,biomass
India,biomass,biomassAEZ07,biomassAEZ07,2050,6,AEZ07,biomass
USA,biomass,biomassAEZ08,biomassAEZ08,2050,0.75,AEZ08,biomass
Canada,biomass,biomassAEZ08,biomassAEZ08,2050,0.75,AEZ08,biomass
Western Europe,biomass,miscanthusAEZ08,miscanthusAEZ08,2050,1.106,AEZ08,miscanthus
Japan,biomass,biomassAEZ08,biomassAEZ08,2050,0.75,AEZ08,biomass
Australia_NZ,biomass,biomassAEZ08,biomassAEZ08,2050,0.75,AEZ08,biomass
Former Soviet Union,biomass,biomassAEZ08,biomassAEZ08,2050,0.75,AEZ08,biomass
China,biomass,biomassAEZ08,biomassAEZ08,2050,0.75,AEZ08,biomass
Middle East,biomass,biomassAEZ08,biomassAEZ08,2050,0.75,AEZ08,biomass
Africa,biomass,eucalyptusAEZ08,eucalyptusAEZ08,2050,0.74,AEZ08,eucalyptus
Latin America,biomass,eucalyptusAEZ08,eucalyptusAEZ08,2050,0.74,AEZ08,eucalyptus
Southeast Asia,biomass,biomassAEZ08,biomassAEZ08,2050,0.75,AEZ08,biomass
Eastern Europe,biomass,willowAEZ08,willowAEZ08,2050,0.671,AEZ08,willow
Korea,biomass,biomassAEZ08,biomassAEZ08,2050,0.75,AEZ08,biomass
India,biomass,biomassAEZ08,biomassAEZ08,2050,0.75,AEZ08,biomass
USA,biomass,biomassAEZ09,biomassAEZ09,2050,0.75,AEZ09,biomass
Canada,biomass,biomassAEZ09,biomassAEZ09,2050,0.75,AEZ09,biomass
Western Europe,biomass,miscanthusAEZ09,miscanthusAEZ09,2050,1.106,AEZ09,miscanthus
Japan,biomass,biomassAEZ09,biomassAEZ09,2050,0.75,AEZ09,biomass
Australia_NZ,biomass,biomassAEZ09,biomassAEZ09,2050,0.75,AEZ09,biomass
Former Soviet Union,biomass,biomassAEZ09,biomassAEZ09,2050,0.75,AEZ09,biomass
China,biomass,biomassAEZ09,biomassAEZ09,2050,0.75,AEZ09,biomass
Middle East,biomass,biomassAEZ09,biomassAEZ09,2050,0.75,AEZ09,biomass
Africa,biomass,eucalyptusAEZ09,eucalyptusAEZ09,2050,0.74,AEZ09,eucalyptus
Latin America,biomass,eucalyptusAEZ09,eucalyptusAEZ09,2050,0.74,AEZ09,eucalyptus
Southeast Asia,biomass,biomassAEZ09,biomassAEZ09,2050,0.75,AEZ09,biomass
Eastern Europe,biomass,willowAEZ09,willowAEZ09,2050,0.671,AEZ09,willow
Korea,biomass,biomassAEZ09,biomassAEZ09,2050,0.75,AEZ09,biomass
India,biomass,biomassAEZ09,biomassAEZ09,2050,0.75,AEZ09,biomass
USA,biomass,biomassAEZ10,biomassAEZ10,2050,0.75,AEZ10,biomass
Canada,biomass,biomassAEZ10,biomassAEZ10,2050,0.75,AEZ10,biomass
Western Europe,biomass,miscanthusAEZ10,miscanthusAEZ10,2050,1.106,AEZ10,miscanthus
Japan,biomass,biomassAEZ10,biomassAEZ10,2050,0.75,AEZ10,biomass
Australia_NZ,biomass,biomassAEZ10,biomassAEZ10,2050,0.75,AEZ10,biomass
Former Soviet Union,biomass,biomassAEZ10,biomassAEZ10,2050,0.75,AEZ10,biomass
China,biomass,biomassAEZ10,biomassAEZ10,2050,0.75,AEZ10,biomass
Middle East,biomass,biomassAEZ10,biomassAEZ10,2050,0.75,AEZ10,biomass
Africa,biomass,eucalyptusAEZ10,eucalyptusAEZ10,2050,0.74,AEZ10,eucalyptus
Latin America,biomass,eucalyptusAEZ10,eucalyptusAEZ10,2050,0.74,AEZ10,eucalyptus
Southeast Asia,biomass,biomassAEZ10,biomassAEZ10,2050,0.75,AEZ10,biomass
Eastern Europe,biomass,willowAEZ10,willowAEZ10,2050,0.671,AEZ10,willow
Korea,biomass,biomassAEZ10,biomassAEZ10,2050,0.75,AEZ10,biomass
India,biomass,biomassAEZ10,biomassAEZ10,2050,0.75,AEZ10,biomass
USA,biomass,biomassAEZ11,biomassAEZ11,2050,0.75,AEZ11,biomass
Canada,biomass,biomassAEZ11,biomassAEZ11,2050,0.75,AEZ11,biomass
Western Europe,biomass,miscanthusAEZ11,miscanthusAEZ11,2050,1.106,AEZ11,miscanthus
Japan,biomass,biomassAEZ11,biomassAEZ11,2050,0.75,AEZ11,biomass
Australia_NZ,biomass,biomassAEZ11,biomassAEZ11,2050,0.75,AEZ11,biomass
Former Soviet Union,biomass,biomassAEZ11,biomassAEZ11,2050,0.75,AEZ11,biomass
China,biomass,biomassAEZ11,biomassAEZ11,2050,0.75,AEZ11,biomass
Middle East,biomass,biomassAEZ11,biomassAEZ11,2050,0.75,AEZ11,biomass
Africa,biomass,eucalyptusAEZ11,eucalyptusAEZ11,2050,0.74,AEZ11,eucalyptus
Latin America,biomass,eucalyptusAEZ11,eucalyptusAEZ11,2050,0.74,AEZ11,eucalyptus
Southeast Asia,biomass,biomassAEZ11,biomassAEZ11,2050,0.75,AEZ11,biomass
Eastern Europe,biomass,willowAEZ11,willowAEZ11,2050,0.671,AEZ11,willow
Korea,biomass,biomassAEZ11,biomassAEZ11,2050,0.75,AEZ11,biomass
India,biomass,biomassAEZ11,biomassAEZ11,2050,0.75,AEZ11,biomass
USA,biomass,biomassAEZ12,biomassAEZ12,2050,0.75,AEZ12,biomass
Canada,biomass,biomassAEZ12,biomassAEZ12,2050,0.75,AEZ12,biomass
Western Europe,biomass,miscanthusAEZ12,miscanthusAEZ12,2050,1.106,AEZ12,miscanthus
Japan,biomass,biomassAEZ12,biomassAEZ12,2050,0.75,AEZ12,biomass
Australia_NZ,biomass,biomassAEZ12,biomassAEZ12,2050,0.75,AEZ12,biomass
Former Soviet Union,biomass,biomassAEZ12,biomassAEZ12,2050,0.75,AEZ12,biomass
China,biomass,biomassAEZ12,biomassAEZ12,2050,0.75,AEZ12,biomass
Middle East,biomass,biomassAEZ12,biomassAEZ12,2050,0.75,AEZ12,biomass
Africa,biomass,eucalyptusAEZ12,eucalyptusAEZ12,2050,0.74,AEZ12,eucalyptus
Latin America,biomass,eucalyptusAEZ12,eucalyptusAEZ12,2050,0.74,AEZ12,eucalyptus
Southeast Asia,biomass,biomassAEZ12,biomassAEZ12,2050,0.75,AEZ12,biomass
Eastern Europe,biomass,willowAEZ12,willowAEZ12,2050,0.671,AEZ12,willow
Korea,biomass,biomassAEZ12,biomassAEZ12,2050,0.75,AEZ12,biomass
India,biomass,biomassAEZ12,biomassAEZ12,2050,0.75,AEZ12,biomass
USA,biomass,biomassAEZ13,biomassAEZ13,2050,6,AEZ13,biomass
Canada,biomass,biomassAEZ13,biomassAEZ13,2050,6,AEZ13,biomass
Western Europe,biomass,willowAEZ13,willowAEZ13,2050,5.368,AEZ13,willow
Japan,biomass,biomassAEZ13,biomassAEZ13,2050,6,AEZ13,biomass
Australia_NZ,biomass,biomassAEZ13,biomassAEZ13,2050,6,AEZ13,biomass
Former Soviet Union,biomass,biomassAEZ13,biomassAEZ13,2050,6,AEZ13,biomass
China,biomass,willowAEZ13,willowAEZ13,2050,5.368,AEZ13,willow
Middle East,biomass,biomassAEZ13,biomassAEZ13,2050,6,AEZ13,biomass
Africa,biomass,biomassAEZ13,biomassAEZ13,2050,6,AEZ13,biomass
Latin America,biomass,biomassAEZ13,biomassAEZ13,2050,6,AEZ13,biomass
Southeast Asia,biomass,biomassAEZ13,biomassAEZ13,2050,6,AEZ13,biomass
Eastern Europe,biomass,biomassAEZ13,biomassAEZ13,2050,6,AEZ13,biomass
Korea,biomass,biomassAEZ13,biomassAEZ13,2050,6,AEZ13,biomass
India,biomass,biomassAEZ13,biomassAEZ13,2050,6,AEZ13,biomass
USA,biomass,willowAEZ14,willowAEZ14,2050,5.368,AEZ14,willow
Canada,biomass,biomassAEZ14,biomassAEZ14,2050,6,AEZ14,biomass
Western Europe,biomass,willowAEZ14,willowAEZ14,2050,5.368,AEZ14,willow
Japan,biomass,biomassAEZ14,biomassAEZ14,2050,6,AEZ14,biomass
Australia_NZ,biomass,biomassAEZ14,biomassAEZ14,2050,6,AEZ14,biomass
Former Soviet Union,biomass,biomassAEZ14,biomassAEZ14,2050,6,AEZ14,biomass
China,biomass,willowAEZ14,willowAEZ14,2050,5.368,AEZ14,willow
Middle East,biomass,biomassAEZ14,biomassAEZ14,2050,6,AEZ14,biomass
Africa,biomass,biomassAEZ14,biomassAEZ14,2050,6,AEZ14,biomass
Latin America,biomass,biomassAEZ14,biomassAEZ14,2050,6,AEZ14,biomass
Southeast Asia,biomass,biomassAEZ14,biomassAEZ14,2050,6,AEZ14,biomass
Eastern Europe,biomass,biomassAEZ14,biomassAEZ14,2050,6,AEZ14,biomass
Korea,biomass,biomassAEZ14,biomassAEZ14,2050,6,AEZ14,biomass
India,biomass,biomassAEZ14,biomassAEZ14,2050,6,AEZ14,biomass
USA,biomass,willowAEZ15,willowAEZ15,2050,5.368,AEZ15,willow
Canada,biomass,biomassAEZ15,biomassAEZ15,2050,6,AEZ15,biomass
Western Europe,biomass,willowAEZ15,willowAEZ15,2050,5.368,AEZ15,willow
Japan,biomass,biomassAEZ15,biomassAEZ15,2050,6,AEZ15,biomass
Australia_NZ,biomass,biomassAEZ15,biomassAEZ15,2050,6,AEZ15,biomass
Former Soviet Union,biomass,biomassAEZ15,biomassAEZ15,2050,6,AEZ15,biomass
China,biomass,willowAEZ15,willowAEZ15,2050,5.368,AEZ15,willow
Middle East,biomass,biomassAEZ15,biomassAEZ15,2050,6,AEZ15,biomass
Africa,biomass,biomassAEZ15,biomassAEZ15,2050,6,AEZ15,biomass
Latin America,biomass,biomassAEZ15,biomassAEZ15,2050,6,AEZ15,biomass
Southeast Asia,biomass,biomassAEZ15,biomassAEZ15,2050,6,AEZ15,biomass
Eastern Europe,biomass,willowAEZ15,willowAEZ15,2050,5.368,AEZ15,willow
Korea,biomass,biomassAEZ15,biomassAEZ15,2050,6,AEZ15,biomass
India,biomass,biomassAEZ15,biomassAEZ15,2050,6,AEZ15,biomass
USA,biomass,willowAEZ16,willowAEZ16,2050,5.368,AEZ16,willow
Canada,biomass,biomassAEZ16,biomassAEZ16,2050,6,AEZ16,biomass
Western Europe,biomass,willowAEZ16,willowAEZ16,2050,5.368,AEZ16,willow
Japan,biomass,biomassAEZ16,biomassAEZ16,2050,6,AEZ16,biomass
Australia_NZ,biomass,biomassAEZ16,biomassAEZ16,2050,6,AEZ16,biomass
Former Soviet Union,biomass,biomassAEZ16,biomassAEZ16,2050,6,AEZ16,biomass
China,biomass,willowAEZ16,willowAEZ16,2050,5.368,AEZ16,willow
Middle East,biomass,biomassAEZ16,biomassAEZ16,2050,6,AEZ16,biomass
Africa,biomass,biomassAEZ16,biomassAEZ16,2050,6,AEZ16,biomass
Latin America,biomass,biomassAEZ16,biomassAEZ16,2050,6,AEZ16,biomass
Southeast Asia,biomass,biomassAEZ16,biomassAEZ16,2050,6,AEZ16,biomass
Eastern Europe,biomass,willowAEZ16,willowAEZ16,2050,5.368,AEZ16,willow
Korea,biomass,biomassAEZ16,biomassAEZ16,2050,6,AEZ16,biomass
India,biomass,biomassAEZ16,biomassAEZ16,2050,6,AEZ16,biomass
USA,biomass,biomassAEZ17,biomassAEZ17,2050,6,AEZ17,biomass
Canada,biomass,biomassAEZ17,biomassAEZ17,2050,6,AEZ17,biomass
Western Europe,biomass,biomassAEZ17,biomassAEZ17,2050,6,AEZ17,biomass
Japan,biomass,biomassAEZ17,biomassAEZ17,2050,6,AEZ17,biomass
Australia_NZ,biomass,biomassAEZ17,biomassAEZ17,2050,6,AEZ17,biomass
Former Soviet Union,biomass,biomassAEZ17,biomassAEZ17,2050,6,AEZ17,biomass
China,biomass,willowAEZ17,willowAEZ17,2050,5.368,AEZ17,willow
Middle East,biomass,biomassAEZ17,biomassAEZ17,2050,6,AEZ17,biomass
Africa,biomass,biomassAEZ17,biomassAEZ17,2050,6,AEZ17,biomass
Latin America,biomass,biomassAEZ17,biomassAEZ17,2050,6,AEZ17,biomass
Southeast Asia,biomass,biomassAEZ17,biomassAEZ17,2050,6,AEZ17,biomass
Eastern Europe,biomass,biomassAEZ17,biomassAEZ17,2050,6,AEZ17,biomass
Korea,biomass,biomassAEZ17,biomassAEZ17,2050,6,AEZ17,biomass
India,biomass,biomassAEZ17,biomassAEZ17,2050,6,AEZ17,biomass
USA,biomass,biomassAEZ18,biomassAEZ18,2050,6,AEZ18,biomass
Canada,biomass,biomassAEZ18,biomassAEZ18,2050,6,AEZ18,biomass
Western Europe,biomass,biomassAEZ18,biomassAEZ18,2050,6,AEZ18,biomass
Japan,biomass,biomassAEZ18,biomassAEZ18,2050,6,AEZ18,biomass
